%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Applied Voltage [V],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],%11/3/20219:39 AM
294.52,83111.609,0.983,10.036,49.513,51.731,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,-10.488,35.619,15.205,-6.056,-7.666,-9.137,-8.863,-6.53,0.447,-6.775,-25.209,-36.967,-37.325,-38.457,-39.493,-42.004,
294.61,83160.562,0.983,10.023,49.392,51.613,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,-7.893,36.289,15.098,-5.847,-8.422,-8.929,-9.718,-6.53,-1.116,-10.007,-23.733,-36.329,-35.338,-35.322,-36.901,-37.049,
294.61,83160.562,0.983,10.023,49.392,51.613,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,-4.109,34.279,13.813,-7.622,-8.962,-10.59,-11.213,-9.099,-4.131,-11.57,-22.783,-33.249,-30.215,-30.306,-31.615,-31.531,
294.613,83160.492,0.983,9.995,49.403,51.73,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,0.975,33.832,13.171,-7.726,-9.61,-10.798,-11.64,-9.849,-4.354,-14.801,-21.518,-30.593,-26.556,-26.648,-26.847,-26.689,
294.613,83160.492,0.983,9.995,49.119,51.674,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,5.198,33.051,12.1,-8.77,-10.905,-11.836,-12.814,-11.776,-5.471,-18.033,-22.362,-27.513,-25.72,-25.603,-27.78,-29.617,
294.517,83114,0.983,9.997,49.126,51.571,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,3.79,32.381,11.779,-10.232,-11.229,-12.459,-13.669,-12.097,-5.359,-19.492,-18.353,-33.461,-29.483,-29.156,-30.371,-33.446,
294.614,83160.562,0.983,9.993,49.126,51.571,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,0.866,32.381,11.672,-9.71,-11.445,-11.732,-12.601,-10.063,-2.01,-11.883,-21.623,-33.568,-34.188,-34.173,-34.206,-36.374,
294.614,83160.562,0.983,9.993,49.101,51.714,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,-2.379,33.162,12.957,-8.666,-10.365,-11.836,-12.067,-10.17,-1.786,-10.007,-23.311,-33.249,-35.652,-34.382,-35.968,-39.189,
294.61,83161.461,0.983,9.981,48.982,51.589,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,-4.325,34.167,13.064,-7.726,-10.365,-10.59,-11.533,-8.778,-1.34,-10.319,-20.674,-35.055,-35.547,-34.068,-36.59,-39.639,
294.524,83118.781,0.983,9.991,49.065,51.587,-9,3917.671,-2074.149,-104.296,-0.033,0.045,2.145,-4.217,33.721,12.849,-8.353,-9.718,-11.109,-11.319,-8.457,-1.898,-11.57,-23.944,-34.524,-33.875,-33.546,-35.45,-36.824,
