Timestamp,"Group Number (section #, first group. i.e. 301-1)",Was the manometer connected to the Venturi Tube or Pitot Static Probe?,Voltage #1,Reading  for Voltage #1 (height change [in H2O]),Voltage #2,Reading for Voltage #2  (height change [in H2O]),Voltage #3,Reading for Voltage #3  (height change [in H2O]),Voltage #4,Reading for Voltage #4  (height change [in H2O]),Voltage #5,Reading for Voltage#5  (height change [in H2O])
10/20/2021 9:18:40,304-1,Venturi tube,1,0.1,3,0.4,5,1.5,7,3,9,5.1
10/20/2021 9:21:46,Section 301 Group 1 Subteam A Pilot,Venturi tube,1,0.1,3,0.4,5,1.5,7,3,9,5.1
10/20/2021 9:26:47,301-2,Pitot Static Probe,1,0.1,3,0.5,5,1.5,7,3.1,9,5.2
10/20/2021 9:51:30,301-3,Venturi tube,2,0.3,4,0.9,6,2.15,8,4,10,6.3
10/20/2021 10:08:40,4,Venturi tube,2,0.2,4,0.9,6,2.4,8,3.9,10,6.5
10/20/2021 10:19:51,301-5,Venturi tube,1.5,0.1,3.5,0.7,5.5,1.9,7.5,3.5,9.5,5.8
10/20/2021 11:17:52,"302, 1",Venturi tube,1,0.1,3,0.4,5,1.5,7,3,9,5.1
10/20/2021 11:30:16,302-2,Pitot Static Probe,1,0.1,3,0.5,5,0.6,7,3.1,9,5.2
10/20/2021 11:44:47,302-3,Venturi tube,2,0.2,4,0.9,6,2.1,8,3.9,10,6.3
10/20/2021 11:55:54,302-4,Pitot Static Probe,2,0.2,4,0.9,6,2.2,8,4.1,10,6.4
10/20/2021 12:14:02,302-5,Venturi tube,1.5,0.1,3.5,0.7,5.5,1.8,7.5,3.5,9.5,5.7
10/20/2021 13:31:38,303-1,Venturi tube,1,0.1,3,0.5,5,1.4,7,3,9,5
10/20/2021 13:42:00,306-2,Pitot Static Probe,1,0.1,3,0.5,5,1.5,7,3,9,5.2
10/20/2021 13:56:20,303-3,Venturi tube,2,0.2,4,0.9,6,2.2,8,4,10,6.1
10/20/2021 14:11:06,303-4,Pitot Static Probe,2,0.25,4,0.95,6,2.3,8,4.05,10,6.4
10/20/2021 14:26:30,5,Venturi tube,1.5,0.1,3.5,0.6,5.5,1.8,7.5,3.4,9.5,5.7
10/27/2021 9:11:53,301-6,Pitot Static Probe,1.5,0.1,3.5,0.6,5.5,1.8,7.5,3.5,9.5,5.8
10/27/2021 9:23:24,301-7,Venturi tube,0.5,0.05,2.5,0.3,4.5,1.1,6.5,2.6,8.5,4.4
10/27/2021 9:23:21,304-7,Venturi tube,0.5,0.05,2.5,0.3,4.5,1.1,6.5,2.6,8.5,4.4
10/27/2021 9:44:45,304-8,Pitot Static Probe,0.5,0.05,2.5,0.4,4.5,1.2,6.5,2.6,8.5,4.6
10/27/2021 9:50:00,8,Pitot Static Probe,0.5,0.05,2,0.4,4.5,1.2,6.5,2.6,8.5,4.6
10/27/2021 9:51:36,"100, 8 - Pilot",Pitot Static Probe,0.5,0.05,2,0.4,4.5,1.2,6.5,2.6,8.5,4.6
10/27/2021 10:18:38,304-6,Pitot Static Probe,1.5,0.1,3.5,0.6,5.5,1.8,7.5,3.5,9.5,5.8
10/27/2021 11:16:34,6,Pitot Static Probe,1.5,0.1,3.5,0.65,5.5,1.8,7.5,3.5,9.5,5.7
10/27/2021 11:36:13,7,Venturi tube,0.5,0.1,2.5,0.25,4.5,1.1,6.5,2.6,8.5,4.5
10/27/2021 11:59:42,302-8,Pitot Static Probe,0.5,0.04,2.5,0.32,4.5,1.2,6.5,2.6,8.5,4.6
10/27/2021 12:23:53,9,Venturi tube,1,0.1,3,0.4,5,1.4,7,3,9,5
10/27/2021 13:17:12,303-6,Pitot Static Probe,1.5,0.1,3.5,0.6,5.5,1.8,7.5,3.4,9.5,5.8
10/27/2021 13:54:34,303-7,Venturi tube,0.5,0.05,2.5,0.4,4.5,1.15,6.5,2.55,8.5,4.5
10/27/2021 14:25:15,303-8,Pitot Static Probe,0.5,0.05,2.5,0.3,4.5,1.2,6.5,2.6,8.5,4.2
